poi_id,poi_name,poi_lat,poi_lon,poi_score,poi_cat,poi_visit_time,poi_desc,poi_address
20,Plaza Weyler,28.467.694,-16.255.722,"4,5",tourist_attraction,15,"Plaza inaugurada en 1883, situada frente al Palacio de la Capitanía General. Tiene una superficie de 3.600 m² y como elemento central destaca una fuente neorrenacentista de mármol de Carrara. Punto de encuentro tradicional durante los carnavales.","Plaza Weyler, 38003 Santa Cruz de Tenerife"
21,Calle Castillo,284.670,-162.517,"4,5",street,30,"Una de las calles más antiguas y emblemáticas de Santa Cruz, mencionada desde principios del s. XVII. Toma su nombre del cercano Castillo de San Cristóbal (1575). Es la principal arteria comercial peatonal, conectando la Plaza Weyler con la Plaza de España a través de la Plaza de la Candelaria.","Calle Castillo, 38002 Santa Cruz de Tenerife"
22,Muellito de San Andrés,285.033.604,-161.920.127,"4,6",historical_landmark,20,"Pequeño muelle pesquero tradicional del histórico pueblo marinero de San Andrés, a los pies del macizo de Anaga. Punto popular de baño y pesca, con fuegos artificiales durante las fiestas patronales de San Andrés (noviembre).","Av. Marítima, San Andrés, 38120 Santa Cruz de Tenerife"
23,Plaza del Adelantado,284.875,-16.313.333,"4,6",tourist_attraction,25,"Plaza principal del casco histórico de La Laguna, declarado Patrimonio de la Humanidad por la UNESCO en 1999. Centro neurálgico de la ciudad, rodeada de palacios coloniales del s. XVI-XVIII, el Ayuntamiento y el convento de Santa Catalina de Siena.","Plaza del Adelantado, s/n, 38201 San Cristóbal de La Laguna"
24,Catedral de La Laguna,28.488.888.888.889,-16.316.111.111.111,"4,7",church,45,"Catedral de Nuestra Señora de Los Remedios, reconstruida entre 1904 y 1915 en estilo neoclásico. Alberga el sepulcro del conquistador Alonso Fernández de Lugo y el Museo Diocesano de Arte Sacro con piezas de los ss. XV-XX.","Plaza de la Catedral, s/n, 38201 San Cristóbal de La Laguna"
25,Parroquia Matriz de Nuestra Señora de la Concepción La Laguna,2.849.055.556,-1.632.027.778,"4,6",church,20,"Templo más antiguo de La Laguna, construido a principios del s. XVI. Posee la torre mudéjar-canaria más alta de Tenerife, con siete cuerpos. Custodia el Pendón de la Conquista de Tenerife y la pila bautismal donde fue bautizado el hijo del Adelantado.","C/ La Carrera, s/n, 38201 San Cristóbal de La Laguna"
26,Museo de Historia de Tenerife,28.489.503,-16.314.904,"4,5",museum,90,"Ubicado en la Casa Lercaro (s. XVI), palacio renacentista con patio de columnas. Recorre la historia de Tenerife desde la conquista hasta el s. XX a través de documentos, cartografía histórica, instrumentos y objetos cotidianos de colecciones insulares.","C/ San Agustín, 22, 38201 San Cristóbal de La Laguna"
27,Teatro Leal,2.848.972.222,-1.631.805.556,"4,4",auditorium,30,"Teatro modernista inaugurado en 1915, considerado la joya del art nouveau en Canarias. Su fachada escultórica con motivos alegóricos y reminiscencias venecianas es única en las islas. Sigue en activo con programación de teatro, música y danza.","C/ Obispo Rey Redondo, 60, 38201 San Cristóbal de La Laguna"
28,Mercado Municipal de La Laguna,28.492.944,-16.313.361,"4,3",market,40,"Mercado de abastos del barrio de Fajardo con más de un centenar de puestos de frutas, verduras, carnes, pescado y productos típicos canarios. Referente de la gastronomía local y punto de encuentro cotidiano de los vecinos de La Laguna.","C/ Numancia, s/n, 38201 San Cristóbal de La Laguna"
29,Ermita de San Miguel,284.875,-1.631.305.556,"4,4",historical_landmark,10,"Pequeña ermita del s. XVI con portada plateresca, considerada uno de los mejores ejemplos del arte renacentista en Canarias. Restaurada y reconvertida en sede del Museo Diocesano de Arte Sacro con obras religiosas de los ss. XVI-XIX.","C/ Herradores, s/n, 38201 San Cristóbal de La Laguna"
30,Museo de la Ciencia y el Cosmos,2.847.555.556,-1.630.888.889,"4,5",museum,90,"Museo interactivo del Cabildo de Tenerife con más de 60 módulos participativos sobre astronomía, física y biología. Dispone de planetario digital, telescopio solar y exposiciones temporales. Referente de divulgación científica en Canarias.","Av. de los Menceyes, 70, 38205 San Cristóbal de La Laguna"
31,Casa Salazar,2.848.972.222,-1.631.555.556,"4,3",historical_landmark,20,Palacio episcopal del s. XVII y residencia histórica de los obispos de Tenerife. Notable ejemplo de arquitectura barroca canaria con portada ornamentada y patio interior con columnas de cantería. Actualmente sede del Obispado de Tenerife.,"C/ Obispo Rey Redondo, s/n, 38201 San Cristóbal de La Laguna"
32,Iglesia Santo Domingo de Guzmán,2.848.583.333,-1.631.333.333,"4,5",church,30,"Antigua iglesia del convento dominico fundado en 1530, uno de los conjuntos monumentales más destacados del casco histórico. Conserva un extraordinario artesonado mudéjar del s. XVI y pinturas barrocas. Funciona como espacio cultural con exposiciones y conciertos.","C/ Santo Domingo, s/n, 38201 San Cristóbal de La Laguna"
33,Casa de los Capitanes Generales,28.487.723,-16.314.913,"4,4",historical_landmark,25,"Edificio del s. XVI sede del gobierno militar de Canarias durante siglos. De estilo neoclásico, con portada de columnas toscanas. Alberga el Centro de Historia y Cultura Militar de Canarias con exposiciones sobre la historia militar del archipiélago.","C/ La Carrera, 18, 38201 San Cristóbal de La Laguna"
34,Calle Obispo Rey Redondo,28.488.773.931.557.700,-16.316.582.910.839.000,"4,4",street,15,"Principal arteria peatonal del casco histórico de La Laguna, que conecta la Plaza del Adelantado con la Catedral y el Teatro Leal. Flanqueada por palacios coloniales con galerías de madera, casas solariegas restauradas, tiendas locales y terrazas.","C/ Obispo Rey Redondo, 38201 San Cristóbal de La Laguna"
35,Calle Herradores,28.488.266.321.593.000,-16.317.053.213.871.200,"4,4",street,15,"Calle histórica del casco lagunero que conserva la tipología urbana del s. XVI, con fachadas de sillar volcánico y balconería tradicional canaria. Bordea la Ermita de San Miguel y conecta el eje central del casco con el barrio de Fonseca.","C/ Herradores, 38201 San Cristóbal de La Laguna"
36,Calle San Agustín,28.489.967.624.616.100,-16.316.426.123.089.000,"4,4",street,15,"Calle que concentra algunos de los principales palacios renacentistas del casco histórico, entre ellos la Casa Lercaro (Museo de Historia de Tenerife). Eje de la arquitectura civil del s. XVI-XVIII, con portaladas de cantería y amplios patios interiores.","C/ San Agustín, 38201 San Cristóbal de La Laguna"
37,Museo Cayetano Gómez Felipe,28.490.815.938.401.400,-16.320.128.642.680.000,"4,2",museum,45,"Museo municipal en la antigua Casa Consistorial de La Laguna, dedicado al pintor lagunero Cayetano Gómez Felipe (1788-1857) y a la historia local. Expone pinturas costumbristas, documentos originales y objetos que retratan la vida del s. XIX en Tenerife.","Plaza del Adelantado, 1, 38201 San Cristóbal de La Laguna"
38,Plaza del Cristo de La Laguna,28.492.834.726.069.700,-16.312.678.136.284.700,"4,5",tourist_attraction,20,"Plaza frente al Santuario del Santísimo Cristo de La Laguna, imagen más venerada de Tenerife y de toda Canarias. Escenario de la procesión más multitudinaria del archipiélago cada 14 de septiembre, con cerca de 200.000 fieles.","Plaza del Cristo, s/n, 38201 San Cristóbal de La Laguna"
